Potential_candidates,Target_variable,AUI_value
S15,S1,0.615760433485629
S15,S14,0.028377631723701637
S15,S28,0.4545588998278548
S15,S6,0.041685344254828144
S15,S30,0.19426473370502548
S15,S16,0.8515089270098639
S15,S13,0.034800574521013934
S15,S5,0.10485222484404379
S15,S10,0.27813421333486693
S15,S32,0.05544073048179283
S15,S27,0.03634436686013675
S15,S12,0.0656040144326623
S15,S29,0.3830540075163042
S15,S4,0.17900451330781852
S15,S11,0.13660028582601086
S15,S7,0.8257324297693739
S21,S1,0.4902843686021559
S21,S14,0.03694068823727334
S21,S28,0.594135794084132
S21,S6,0.051115055377459945
S21,S30,0.19436721573031027
S21,S16,0.7550887535288487
S21,S13,0.04503203131990681
S21,S5,0.11630786833045975
S21,S10,0.2747209056305194
S21,S32,0.06685077211271205
S21,S27,0.043512616188046596
S21,S12,0.08345932062262662
S21,S29,0.44306088798589116
S21,S4,0.18221356650120177
S21,S11,0.14480300959794365
S21,S7,0.6427926748675485
S22,S1,0.4728104201273203
S22,S14,0.032711751849109856
S22,S28,0.6079845842819974
S22,S6,0.05470067966330574
S22,S30,0.21150055002352128
S22,S16,0.7454758832897485
S22,S13,0.046351786783027385
S22,S5,0.12036777090436505
S22,S10,0.3093452018540096
S22,S32,0.06754868040175754
S22,S27,0.03995895822623579
S22,S12,0.08669165817244279
S22,S29,0.5021112694877452
S22,S4,0.1987346972173857
S22,S11,0.16641183401846474
S22,S7,0.5828818599223209
S8,S1,0.7805062524158635
S8,S14,0.026594281035171127
S8,S28,0.3091692284696657
S8,S6,0.044521783370391164
S8,S30,0.15984643560108738
S8,S16,0.8203650819863647
S8,S13,0.03398398525410283
S8,S5,0.10006683346647201
S8,S10,0.2945429260088031
S8,S32,0.04989594351642346
S8,S27,0.031544952263669254
S8,S12,0.06632588954193791
S8,S29,0.28395903255249644
S8,S4,0.17409064818376355
S8,S11,0.12976224023524935
S8,S7,0.8959191756649493
S2,S1,0.9088591095764083
S2,S14,0.024824401018206023
S2,S28,0.2851385689675613
S2,S6,0.04309809217051948
S2,S30,0.15487278074332103
S2,S16,0.6834725424231475
S2,S13,0.032397774044819035
S2,S5,0.0964913069299106
S2,S10,0.2930941141205029
S2,S32,0.046203849688923895
S2,S27,0.02889223010269711
S2,S12,0.062087419562045894
S2,S29,0.2681215789849939
S2,S4,0.17725894829749322
S2,S11,0.1325317730925781
S2,S7,0.7996863110356714
S9,S1,0.567350067168028
S9,S14,0.031045147919359875
S9,S28,0.48684283827947916
S9,S6,0.05816592839588797
S9,S30,0.20353635084283173
S9,S16,0.5885942343226227
S9,S13,0.040913662931883706
S9,S5,0.12578055164334914
S9,S10,0.3664134912749419
S9,S32,0.06133585497562171
S9,S27,0.03548402825282544
S9,S12,0.08814004973178889
S9,S29,0.409745786005008
S9,S4,0.22545879580598177
S9,S11,0.17729285935876624
S9,S7,0.6298240366524824
S17,S1,0.41785954869258585
S17,S14,0.04054221198266035
S17,S28,0.5386020882657044
S17,S6,0.06873194238730776
S17,S30,0.2504099238123514
S17,S16,0.5409123305763865
S17,S13,0.05452070878906738
S17,S5,0.13421699529252543
S17,S10,0.41416736587546205
S17,S32,0.07233051567711697
S17,S27,0.046005606309099785
S17,S12,0.1012507799812839
S17,S29,0.6226728774482545
S17,S4,0.256908648200187
S17,S11,0.20220692150783787
S17,S7,0.4820469002476198
S23,S1,0.3282940228053548
S23,S14,0.047398914902175654
S23,S28,0.556778427803842
S23,S6,0.07004077704932293
S23,S30,0.2491173320968425
S23,S16,0.46401454517161217
S23,S13,0.06597319853929172
S23,S5,0.12829094170503116
S23,S10,0.43068523108132784
S23,S32,0.08361796571524129
S23,S27,0.05415899274646705
S23,S12,0.10071608066203054
S23,S29,0.7899653533739942
S23,S4,0.25156586806700976
S23,S11,0.18789440570470936
S23,S7,0.37765291871064194
S3,S1,0.48363450206431363
S3,S14,0.0317811458906887
S3,S28,0.4480018655082908
S3,S6,0.0647252183407093
S3,S30,0.24934760375004353
S3,S16,0.43619266538840074
S3,S13,0.042345914485184766
S3,S5,0.1375462343753526
S3,S10,0.531600906319523
S3,S32,0.0590340264316914
S3,S27,0.03457936554486488
S3,S12,0.09067591867717431
S3,S29,0.4934808063755364
S3,S4,0.3169176369478198
S3,S11,0.20897929221688796
S3,S7,0.4784086221979816
S18,S1,0.23873214382313504
S18,S14,0.05323328199541001
S18,S28,0.27090743142990686
S18,S6,0.11635342174520755
S18,S30,0.5321213041547304
S18,S16,0.25450357025948367
S18,S13,0.06695999064038698
S18,S5,0.2355554228396749
S18,S10,0.4613514527018446
S18,S32,0.09260464594160414
S18,S27,0.04997494773968147
S18,S12,0.15023983696478946
S18,S29,0.28501571889934063
S18,S4,0.4873665814317045
S18,S11,0.33035989122520715
S18,S7,0.26435463127235725
S24,S1,0.19656246917686626
S24,S14,0.056517922094391985
S24,S28,0.25012747484760184
S24,S6,0.13086587771232505
S24,S30,0.7026122071575548
S24,S16,0.22870437415966938
S24,S13,0.08055017581565165
S24,S5,0.2623804440330444
S24,S10,0.3353156610576088
S24,S32,0.10313284191361209
S24,S27,0.05598676188192841
S24,S12,0.17525824043508323
S24,S29,0.258218065942355
S24,S4,0.4631986354654172
S24,S11,0.3659774279230099
S24,S7,0.22708036076841157
S19,S1,0.13551152812971315
S19,S14,0.0869814832536579
S19,S28,0.1743067618276767
S19,S6,0.26145261704608636
S19,S30,0.22943200800997018
S19,S16,0.15381945890638674
S19,S13,0.13966815175889172
S19,S5,0.5232022061609496
S19,S10,0.17573450977643004
S19,S32,0.1168208000577749
S19,S27,0.055763120396884615
S19,S12,0.3954206340268306
S19,S29,0.16903452327070412
S19,S4,0.21653565510784226
S19,S11,0.39165089252248464
S19,S7,0.1423106238758029
S25,S1,0.12283202348163087
S25,S14,0.09211809069065777
S25,S28,0.16885164854189347
S25,S6,0.30314805150139
S25,S30,0.19849184355846156
S25,S16,0.14119960909653315
S25,S13,0.14989423006322017
S25,S5,0.4570741059026988
S25,S10,0.16673291207157542
S25,S32,0.11500983011275251
S25,S27,0.06044568876750779
S25,S12,0.4477127417804239
S25,S29,0.15839637148288468
S25,S4,0.17863294354351147
S25,S11,0.3065000837613446
S25,S7,0.13212849630580367
S31,S1,0.12027521202055268
S31,S14,0.09818441462447533
S31,S28,0.17277801465806547
S31,S6,0.2950275817441021
S31,S30,0.18951509590211893
S31,S16,0.1461387652674395
S31,S13,0.15779354209934476
S31,S5,0.4023105200391412
S31,S10,0.16200010771050025
S31,S32,0.11794488599387705
S31,S27,0.077774039621488
S31,S12,0.3911644125684465
S31,S29,0.15396573184981424
S31,S4,0.15959358742777466
S31,S11,0.26229273172171436
S31,S7,0.13653471876788192
S20,S1,0.05186867442363021
S20,S14,0.20285103059320353
S20,S28,0.07852008249368826
S20,S6,0.48895949795326066
S20,S30,0.10016573636738907
S20,S16,0.06446618292218038
S20,S13,0.4036402370537483
S20,S5,0.15343087312732517
S20,S10,0.07970694522011561
S20,S32,0.3571334264765694
S20,S27,0.1333422166548388
S20,S12,0.3051823993800119
S20,S29,0.07369580477735845
S20,S4,0.09675217365102057
S20,S11,0.11881804050505199
S20,S7,0.055017004685443016
S26,S1,0.05195689720863892
S26,S14,0.2129087462562502
S26,S28,0.07833681172310843
S26,S6,0.29914565094208473
S26,S30,0.09020583298034539
S26,S16,0.06318467055065971
S26,S13,0.3231278937239685
S26,S5,0.10483973544791038
S26,S10,0.073766931093328
S26,S32,0.536932709228124
S26,S27,0.14255790554726913
