Grid IDs,Elevation(m),Lon.(°),Lat.(°)
1,1413,-123.19200000000001,49.483000000000004
2,1423,-123.2,49.483000000000004
3,1286,-123.208,49.483000000000004
4,988,-123.21700000000001,49.483000000000004
5,692,-123.225,49.483000000000004
6,404,-123.23299999999999,49.483000000000004
7,1234,-123.18299999999999,49.475
8,1412,-123.19200000000001,49.475
9,1617,-123.2,49.475
10,974,-123.208,49.475
11,738,-123.21700000000001,49.475
12,541,-123.225,49.475
13,322,-123.23299999999999,49.475
14,35,-123.242,49.475
15,1212,-123.18299999999999,49.467
16,997,-123.19200000000001,49.467
17,1108,-123.2,49.467
18,1338,-123.208,49.467
19,946,-123.21700000000001,49.467
20,659,-123.225,49.467
21,1412,-123.18299999999999,49.458
22,1294,-123.19200000000001,49.458
23,1082,-123.2,49.458
24,723,-123.208,49.458
25,508,-123.21700000000001,49.458
26,372,-123.225,49.458
27,116,-123.23299999999999,49.458
28,1343,-123.19200000000001,49.45
29,1235,-123.2,49.45
30,1048,-123.208,49.45
31,889,-123.21700000000001,49.45
32,500,-123.225,49.45
